run	success	app_xt	app_R2	car_xt	car_R2	pick	deliv
f10_L20_r2	0.7559	0.2267	0.9290	0.0651	0.9572	0.8945	0.6667
f10_L20_r3	0.7930	0.2110	0.9282	0.0609	0.9647	0.9004	0.5484
f12_pin10	0.7754	0.2141	0.9246	0.0591	0.9622	0.9219	0.6071
f12_pin25	0.8008	0.2901	0.9164	0.0727	0.9370	0.9297	0.5909
f12_pin15	0.7900	0.2687	0.9113	0.0602	0.9616	0.9062	0.6207
f12_pin10_r1	0.7881	0.2338	0.9221	0.0647	0.9634	0.8906	0.4643
f12_pin10_r2	0.7910	0.2562	0.9024	0.0590	0.9684	0.8594	0.7097
f12_pin10_r3	0.7812	0.2352	0.9175	0.0575	0.9671	0.8887	0.5769
f12_pin15_r1	0.7998	0.2975	0.8844	0.0546	0.9618	0.8496	0.7292
f12_pin15_r2	0.8154	0.2558	0.9080	0.0574	0.9629	0.9219	0.5152
f12_pin15_r3	0.8066	0.2471	0.9220	0.0614	0.9484	0.9277	0.5000
f12_pin25_r1	0.8057	0.2641	0.9086	0.1006	0.9031	1.0000	0.4286
f12_pin25_r2	0.7979	0.2631	0.9055	0.1031	0.9024	0.9961	0.3500
f12_pin25_r3	0.8027	0.2561	0.9092	0.0778	0.9171	0.9766	0.4444
f10_K16_L20	0.8037	0.1929	0.9353	0.0619	0.9730	0.9043	0.5000
f10_K16	0.8057	0.2133	0.8915	0.0699	0.9674	0.8027	0.5263
f10_K16_L20_r1	0.7637	0.1711	0.9425	0.0660	0.9669	0.9336	0.6316
f10_K16_L20_r2	0.7764	0.1912	0.9165	0.0642	0.9720	0.8770	0.5667
f10_K16_L20_r3	0.7803	0.2027	0.8836	0.0588	0.9912	0.7949	0.7436
f10_K16_r1	0.8076	0.2156	0.8958	0.0663	0.9562	0.8359	0.7000
f10_K16_r2	0.8066	0.2340	0.8762	0.0746	0.9773	0.7656	0.7586
f10_K16_r3	0.8184	0.2313	0.8896	0.0682	0.9808	0.8359	0.6333
f9_nat_pen06_r4	0.7930	0.2141	0.9419	0.0718	0.9457	0.9785	0.6316
f8_ctrl_r5	0.9219	0.3277	0.7886	0.0727	0.8461	0.9453	0.8235
